clasificación,coordenada_x,coordenada_y,demanda
2,-100.22979021859652,25.73326280719377,1
2,-100.08701149321223,25.685629845490915,12
2,-100.09849436516564,25.689182673027695,13
2,-100.11115616741218,25.69640203964158,33
2,-100.09995142986585,25.712289378801152,1
2,-100.1096532660855,25.684940696823364,7
2,-100.13729583141549,25.760518425877148,3
2,-100.15918941050182,25.759670724298726,19
2,-100.16528037008017,25.748923344864636,2
2,-100.14027362302193,25.742137181879112,10
2,-100.15167507613324,25.745980034731872,3
2,-100.16976025444058,25.701475763696585,27
2,-100.1660517349628,25.709082718804652,2
2,-100.18802989574056,25.717567282759266,23
2,-100.15661120660539,25.72745983538012,14
2,-100.15875350398079,25.736375790034565,5
2,-100.18292780537666,25.72970761407808,44
2,-100.16727838116493,25.720830033035114,2
2,-100.1737821404083,25.741963598022085,6
2,-100.19290203918129,25.742445871616408,1
2,-100.13847957214176,25.724083096598132,6
2,-100.14504234828875,25.722318435253815,1
2,-100.15495520518955,25.711444004663488,23
2,-100.14411616865993,25.705762128378566,19
2,-100.13314602486814,25.713529025274305,6
2,-100.06144738085554,25.643574065630585,24
2,-100.05301141863616,25.639717884587576,2
2,-100.15761290769994,25.66829865164778,28
2,-100.16539733337738,25.680816517475407,11
2,-100.14618010853972,25.664465987469896,2
2,-100.21153470843888,25.707706818252177,27
2,-100.15052198948386,25.614288965934215,89
2,-100.13297994764316,25.61000120835022,5
2,-100.13953488743608,25.6085080576095,2
2,-100.16881509199158,25.605763141161624,14
2,-100.07805729178978,25.650707515452254,119
2,-100.12874648575618,25.67669961819524,2
2,-100.10887946249981,25.64773211886679,544
2,-100.11443902406596,25.62421221692732,28
2,-100.12431742198756,25.617038589947388,36
2,-100.08759999433238,25.661761745319335,2
2,-100.13565963541208,25.64613750665121,76
2,-100.1469272771041,25.635217896153005,23
2,-100.17639460956013,25.62487819786755,275
2,-100.14948410449932,25.652179745721778,63
2,-100.16672792576968,25.65423791438286,20
2,-100.17183949535452,25.660699934378155,22
2,-100.17096580905275,25.64758200573536,5
2,-100.16168741452039,25.645878975010987,6
2,-100.18211838414685,25.603481165023634,2
2,-100.18769242745816,25.653211613000966,7
2,-100.1928611369621,25.68662728409631,20
2,-100.18635154229422,25.69609589333437,37
2,-100.18759450193139,25.663794917268966,21
2,-100.20264120598287,25.68808393786993,17
2,-100.2168466990862,25.66902572739438,283
2,-100.19633992523865,25.670080460385275,18
2,-100.21537220485261,25.67749364658105,2
2,-100.20586289338522,25.648737681380247,37
2,-100.20753822578183,25.64116798909416,5
2,-100.24057026086406,25.65871355032276,2
2,-100.23295468155712,25.65625145646136,2
2,-100.23596745404508,25.672340927896688,2
2,-100.17448778582752,25.672492685685974,2
2,-100.22457787798886,25.71391499397494,3
2,-100.24259736376656,25.814874382212444,9
2,-100.23215051155694,25.82135833420273,2
2,-100.2249804241523,25.826806802438306,1
2,-100.2412224810662,25.750501793874257,17
2,-100.25173159972981,25.745045442786648,25
2,-100.26208877039733,25.822920832479284,4
2,-100.25458340241683,25.82487103262547,2
2,-100.24574674363048,25.82605769333471,6
2,-100.26259365453228,25.8082386771437,16
2,-100.27858405003929,25.8066999606203,2
2,-100.292438515252,25.75411896535386,25
2,-100.24916870364338,25.77887795848157,396
2,-100.28025086700542,25.756594741122072,6
2,-100.27023367426376,25.755548224616955,2
2,-100.27304594234981,25.762977081623085,3
2,-100.28998677174596,25.806290082146557,1
2,-100.29753259289814,25.77791638577419,24
2,-100.2887491391297,25.78347218388922,2
2,-100.30608822324207,25.802071030345715,19
2,-100.32921406879325,25.80586877218671,11
2,-100.32253829702297,25.80809141888422,9
2,-100.3190616004838,25.796941492535712,16
2,-100.32830971651326,25.781029136618184,113
2,-100.34407398397163,25.788540593681944,1
2,-100.31940452972289,25.75338154719372,1
2,-100.32634051900011,25.75848894389475,5
2,-100.34329586366823,25.801511409293486,3
2,-100.3015293964109,25.816580332459676,2
2,-100.21606536334566,25.728351062338476,2
2,-100.41619450245382,25.81871888257558,3
2,-100.40478994558559,25.819028412788892,2
2,-100.26307607223951,25.71806045955293,208
2,-100.25828501650011,25.69811656921899,11
2,-100.4290389083672,25.779578429254588,104
2,-100.41938295294796,25.773248524097422,1
2,-100.25297380522909,25.67991218266789,59
2,-100.2670610650521,25.67308783633657,53
2,-100.4361496912003,25.801359045848862,78
2,-100.38062964011664,25.732005399522084,46
2,-100.36819649675125,25.734689540992214,3
2,-100.33901902595196,25.72289288439463,11
2,-100.39176970679549,25.801105409389713,75
2,-100.41342460578971,25.7972412345837,69
2,-100.41372857484488,25.78603617546714,1
2,-100.3263268177312,25.733151028974355,23
2,-100.37017602972087,25.765636400357884,206
2,-100.35398421237414,25.745242129336003,5
2,-100.38836228544177,25.790072327706994,1
2,-100.28523704187518,25.697090952844302,59
2,-100.31656247551392,25.689792720472298,112
2,-100.32660050090051,25.714020519048365,2
2,-100.2864556062047,25.66622502204472,11
2,-100.3004993407985,25.662967930061335,2
2,-100.29370902212435,25.664745613767693,1
2,-100.31523856041494,25.668284432012165,5
2,-100.30956718527301,25.65748270025388,3
2,-100.32622674319785,25.657965253160366,26
2,-100.44716794849703,25.788659234521596,1
2,-100.35679403022553,25.70279618320365,4
2,-100.11221824174697,25.750708793739562,1
2,-100.26542093280624,25.618421991648642,33
2,-100.29516124469973,25.630942219055697,4
2,-100.28877582962284,25.633278375033026,1
2,-100.23688292187045,25.581457262768325,1
2,-100.04111182152455,25.793952956768454,1
