clasificación,coordenada_x,coordenada_y,demanda
1,-100.16567469,25.70556326,10
1,-100.15754764,25.70500689,10
1,-100.29789704,25.75264494,10
1,-100.29557049,25.75909049,10
1,-100.29249908,25.77010294,10
1,-100.30252562,25.73974679,10
1,-100.25219628,25.67987035,10
1,-100.24549584,25.67960016,10
1,-100.26424243,25.68012838,10
1,-100.36547404,25.7545747,10
1,-100.36175019,25.74854753,10
1,-100.35484255,25.74188396,10
1,-100.30807839,25.72438685,10
1,-100.31077714,25.7170073,10
1,-100.31390804,25.70794923,10
1,-100.31648974,25.69670307,10
1,-100.40783891,25.76359946,10
1,-100.34309336,25.69809426,10
1,-100.3423143,25.71560482,10
1,-100.34243045,25.72345902,10
1,-100.35689233,25.71895854,10
1,-100.38131963,25.7424738,10
1,-100.37314354,25.73333031,10
1,-100.34719466,25.73212953,10
1,-100.30994559,25.6678394,10
1,-100.32470323,25.68705221,10
1,-100.31681716,25.68626412,10
1,-100.33342677,25.68706443,10
1,-100.29671065,25.68405597,10
1,-100.29564143,25.69095468,10
1,-100.28788404,25.6837951,10
1,-100.27978809,25.6835326,10
1,-100.29676182,25.70393062,10
1,-100.25353663,25.70316203,10
1,-100.26023549,25.70329539,10
1,-100.26875458,25.70350817,10
1,-100.22302264,25.70256119,10
1,-100.22988018,25.70274239,10
1,-100.23853109,25.70295583,10
1,-100.19992249,25.70765043,10
1,-100.20819917,25.70471537,10
1,-100.30660564,25.68525404,10
1,-100.27340094,25.71385451,10
1,-100.42069078,25.77064089,10
2,-100.1925352142268,25.47023312940894,2
2,-100.18921861096383,25.4811451328999,1
2,-100.17313744234468,25.48207297474186,1
2,-100.16304997974412,25.483853432366747,2
2,-100.17805843654895,25.49440233431472,1
2,-100.1627870576353,25.463982367050654,1
2,-100.11938383055995,25.384585552176326,1
2,-100.1144437333982,25.375577717272048,1
2,-100.12640389197053,25.39216100241634,2
2,-100.10709652426289,25.366247692074577,1
2,-100.12325973924328,25.40415039826334,6
2,-100.16843878260364,25.40762686135326,1
2,-100.1509087132294,25.41049594308078,1
2,-99.98924874945618,25.599413311695315,4
2,-99.99378444129718,25.592713124414267,1
2,-100.00311972467661,25.586540493740166,4
2,-99.98032702533258,25.574180960678472,2
2,-99.99150848764523,25.58214574852819,2
2,-99.98641022573591,25.577758379177197,1
2,-99.99623156184116,25.5760945178606,4
2,-100.42957072539015,25.958175725035368,5
2,-100.47628523977608,25.969465995660247,53
2,-100.43867363121541,25.9715329765964,3
2,-100.44308272851114,25.96640093934178,9
2,-100.45007671413512,25.96466685908549,21
2,-100.44945438307528,25.98188493870228,123
2,-100.46271477446888,25.97026604497215,129
2,-100.45828856055863,25.97912839588371,14
